"Yield","BiologicalMaterial01","BiologicalMaterial02","BiologicalMaterial03","ManufacturingProcess01","ManufacturingProcess02","ManufacturingProcess03"
37.73,5.85,51.75,64.02,11.5,21,1.55
37.3,5.85,51.75,64.02,11.5,21.5,1.53
37.86,6.01,51.83,63.8,11.8,21.9,1.54
38.05,5.89,51.28,64.04,12.3,21.7,1.55
37.87,5.9,51.44,63.61,11.8,21.6,1.55
38.6,5.9,51.44,63.61,11.8,21.8,1.55
38.44,5.9,51.44,63.61,11.8,20.8,1.55
39.42,5.79,53.96,66.53,9.8,22,1.54
39.75,5.79,53.96,66.53,9.8,21.9,1.5
39.51,5.79,53.96,66.53,9.8,22.4,1.48
38.35,5.94,51.27,63.54,11.7,22,1.52
40.38,6.4,58.73,71.51,11.4,20.5,1.57
40.19,6.4,58.73,71.51,11.4,22.2,1.54
39.96,6.4,58.73,71.51,11.4,22.3,1.53
39.79,6.1,56.36,69.52,11.7,22,1.51
41.86,5.78,53.7,67.22,12,21.2,1.55
42.15,6.15,53.06,70.29,12.3,21.1,1.54
43.88,6.4,52.62,72.39,12.5,21,1.55
39.58,5.6,51.45,63.44,11.4,21,1.55
40.19,5.6,51.45,63.44,11.4,20.9,1.54
39.84,5.6,51.45,63.44,11.4,21.1,1.55
40.59,5.43,49.1,62.08,12,21.2,1.55
40.66,6.02,50.01,60.82,12.3,21.5,1.55
42.58,6.03,52.58,65.05,11.3,21.2,1.55
43.42,6.08,52.89,66.72,11.2,20.8,1.55
41.45,5.76,52.73,63.88,12.1,20.9,1.54
41.31,5.79,52.7,64.33,11.9,21.2,1.55
42.28,6.23,52.95,66.71,11.4,21.3,1.54
41.62,6.23,52.95,66.71,11.4,21.3,1.55
42.73,6.23,52.95,66.71,11.4,21.4,1.54
41.66,6.26,55.94,69.22,12.2,21.5,1.55
40.89,6.26,55.94,69.22,12.2,21.4,1.55
40.82,6.26,55.94,69.22,12.2,21.5,1.54
39.77,6.36,53.18,66.57,10.8,21.2,1.55
38.05,6.72,53.85,67.1,10.9,NA,1.55
37.86,5.18,48.6,61.04,11.3,21.4,1.54
38.03,5.18,48.6,61.04,11.3,21.3,1.55
37.39,5.18,48.6,61.04,11.3,21.3,1.55
39.16,6.29,50.64,63.92,12.2,21.6,1.55
37.64,6.1,50.6,63.37,10,NA,1.55
39.77,5.3,46.87,57.56,13.1,21.3,1.55
38.66,5.83,50.17,63.11,10.2,21.2,1.54
40.31,6.25,54.57,67.56,12.4,21.2,1.55
40.54,6.25,54.57,67.56,12.4,21.4,1.54
40.64,6.25,54.57,67.56,12.4,21.4,1.55
38.6,6,53.29,65.5,12.7,21.4,1.55
38.13,6,53.29,65.5,12.7,21.6,1.54
40.1,6,53.29,65.5,12.7,21.6,1.55
39.14,5.49,48.03,58.99,13,21.4,1.54
38.63,5.3,46.87,57.56,13.3,21.4,1.54
41.43,5.54,52.48,64.98,13.4,21.4,1.54
40.96,5.54,52.29,64.61,13.3,21.1,1.54
37.89,6.25,52.68,65.12,12.7,21.5,1.6
37.42,6.25,52.68,65.12,12.7,21.7,1.59
37.51,6.25,52.68,65.12,12.7,21.3,1.6
37.92,6.22,52.76,65.13,12.7,21.2,1.6
36.77,5.9,51.37,63.65,12.4,21.3,1.54
37.14,5.9,51.37,63.65,12.4,21,1.55
37.73,5.9,51.37,63.65,12.4,21.2,1.55
38.03,5.7,52.77,66.25,12.1,21.4,1.55
37.86,5.7,52.77,66.25,12.1,21.3,1.55
38.31,5.7,52.77,66.25,12.1,21.5,1.54
38.66,5.97,53.13,66.58,12.1,21.1,1.54
38.65,6.39,53.72,67.13,12.4,21,1.55
38.67,5.36,53.39,65.3,11.5,21.2,1.55
38.42,5.27,52.45,64.09,11.4,21.2,1.55
39.15,4.58,49.56,61.08,11.6,21.2,1.55
38.82,4.58,49.56,61.08,11.6,21.2,1.55
39.08,4.58,49.56,61.08,11.6,20,1.55
38.9,7.7,62.92,75.91,11.3,20.8,1.55
39.62,6.39,59.1,71.04,12.5,19.9,1.55
39.77,6.63,59.81,71.94,14.1,20,1.54
39.66,6.71,56.32,66.19,12.8,21.5,1.54
39.68,6.87,56.74,66.61,12.8,21.5,1.56
42.23,7.5,58.41,68.3,13,20.4,1.55
38.48,7.53,58.36,69.25,14.1,21.6,1.55
39.49,7.53,58.36,69.25,14.1,20.8,1.55
