"community_number","community_area","percent_house_crowded","percent_house_below_poverty","percent_16_unemployed","percent_25_without_diploma","percent_dependent","per_capita_income","hardship_index","Target"
57,"Archer Heights",8.5,14.1,16.5,35.9,39.2,16134,67,0
58,"Brighton Park",14.4,23.6,13.9,45.1,39.3,13089,84,0
59,"McKinley Park",7.2,18.7,13.4,32.9,35.6,16954,61,0
60,"Bridgeport",4.5,18.9,13.7,22.2,31.3,22694,43,0
61,"New City",11.9,29,23,41.5,38.9,12765,91,0
62,"West Elsdon",11.1,15.6,16.7,37,37.7,15754,69,0
63,"Gage Park",15.8,23.4,18.2,51.5,38.8,12171,93,0
64,"Clearing",2.7,8.9,9.5,18.8,37.6,25113,29,0
65,"West Lawn",5.8,14.9,9.6,33.6,39.6,16907,56,0
66,"Chicago Lawn",7.6,27.9,17.1,31.2,40.6,13231,80,0
67,"West Englewood",4.8,34.4,35.9,26.3,40.7,11317,89,0
68,"Englewood",3.8,46.6,28,28.5,42.5,11888,94,0
69,"Greater Grand Crossing",3.6,29.6,23,16.5,41,17285,66,0
70,"Ashburn",4,10.4,11.7,17.7,36.9,23482,37,0
71,"Auburn Gresham",4,27.6,28.3,18.5,41.9,15528,74,0
72,"Beverly",0.9,5.1,8,3.7,40.5,39523,12,1
73,"Washington Height",1.1,16.9,20.8,13.7,42.6,19713,48,0
74,"Mount Greenwood",1,3.4,8.7,4.3,36.8,34381,16,1
75,"Morgan Park",0.8,13.2,15,10.8,40.3,27149,30,1
76,"O'Hare",3.6,15.4,7.1,10.9,30.3,25828,24,1
77,"Edgewater",4.1,18.2,9.2,9.7,23.8,33385,19,1
